id,name,team,1,2,3,4,5,6,7,8,9,total
2370,Karim Benzema,Real Madrid,0.2794,1.3876,0.1101,0.6413,0.0555,0.5267,1.2291,0.0868,-,4.3165
2380,Paco Alcácer,Villarreal,0.4051,0.9027,0.0,1.4308,0.0,0.1531,0.5945,0.1612,0.5881,4.2355
2097,Lionel Messi,Barcelona,1.3551,0.519,0.1045,0.1737,0.4483,0.6807,0.5067,-,-,3.788
2217,Antonio Sanabria,Real Betis,-,0.3015,0.5068,0.0,1.1462,0.0,0.345,1.0851,0.1434,3.528
2098,Luis Suárez,Atletico Madrid,0.8296,0.2157,0.1578,0.7579,0.6791,-,0.6588,-,-,3.2989
2290,Iago Aspas,Celta Vigo,0.0,1.0052,0.5029,0.0751,0.0537,0.2177,0.1097,0.4897,0.7041,3.1581
2589,Rafa Mir,SD Huesca,0.0525,0.086,0.0774,0.0,0.4423,0.5795,0.4944,0.0695,1.0184,2.82
7008,Vinícius Júnior,Real Madrid,0.0813,-,0.8302,1.1378,0.6584,0.0336,0.0,0.0398,-,2.7811
2186,Morales,Levante,0.7778,1.2156,0.3514,0.0631,0.0,0.1456,0.0,0.1515,-,2.705
2120,Gerard Moreno,Villarreal,0.3659,1.1891,0.0791,0.3037,0.1046,-,-,0.1914,0.4231,2.6569
2406,Mikel Rico,SD Huesca,0.0,-,-,0.1806,0.5753,-,-,-,1.355,2.1109
2234,Mikel Oyarzabal,Real Sociedad,0.0,0.0767,0.1096,0.1361,0.1184,0.109,0.3011,1.1206,0.0984,2.0699
2275,Ángel Correa,Atletico Madrid,0.35,0.0545,0.0,0.0,0.0,0.8047,0.774,-,-,1.9832
2270,Antoine Griezmann,Barcelona,0.1187,0.0441,0.0957,0.3177,0.0,0.4572,0.9364,-,-,1.9698
7892,João Félix,Atletico Madrid,0.4802,0.3997,0.0,0.0522,0.0803,0.1558,0.7777,-,-,1.9459
6954,Juan Camilo Hernández,Getafe,0.0218,0.595,0.0768,0.0,0.486,0.2049,0.4035,0.087,-,1.875
7967,Anssumane Fati,Barcelona,0.4523,0.1038,0.0668,0.0151,0.6241,0.5217,0.0776,-,-,1.8614
1715,Álvaro Negredo,Cadiz,0.0,0.5155,0.1655,0.0,-,0.74,0.0,0.3555,0.0665,1.843
6124,Maxi Gómez,Valencia,0.5328,0.1544,0.0,0.6284,0.4052,0.0316,-,0.0,0.0,1.7524
6217,Enis Bardhi,Levante,1.03,0.0,0.0238,0.1489,0.0775,0.024,0.218,0.2237,-,1.7459
1109,Lucas Ocampos,Sevilla,0.1551,0.5504,0.1101,0.0,0.8786,0.0,0.0252,-,-,1.7194
5169,Youssef En-Nesyri,Sevilla,0.25,0.1249,0.0816,0.0,0.3814,0.7697,0.0804,-,-,1.688
4136,Ángel,Getafe,0.0,0.0,0.6122,0.1124,-,0.2816,0.6199,0.0488,-,1.6749
5232,Alexander Isak,Real Sociedad,0.0862,0.2346,0.5644,0.0852,0.1712,0.0828,0.4485,-,-,1.6729
4226,Darwin Machís,Granada,0.0324,1.2516,0.0581,0.1559,0.0701,0.0,0.0495,0.0378,-,1.6554
488,Philippe Coutinho,Barcelona,0.4813,0.204,0.4097,0.0545,0.5011,-,-,-,-,1.6506
8735,Salvi Sánchez,Cadiz,0.157,0.0493,0.7823,0.0,0.0,0.0,0.0712,0.5373,0.0095,1.6066
2399,Iñaki Williams,Athletic Club,0.1468,0.0428,0.085,0.0,0.9991,0.0,0.0753,0.2521,-,1.6011
7349,Enric Gallego,Osasuna,-,-,0.0614,0.0,0.8945,0.0,0.6162,0.0,-,1.5721
5304,Mikel Merino,Real Sociedad,0.0,0.0,0.7052,0.0482,0.8142,0.0,0.0,-,0.0,1.5676
5212,Sergi Guardiola,Real Valladolid,0.1387,0.0667,0.4804,0.0,0.0479,0.0262,0.0,-,0.7299,1.4898
2361,Willian José,Real Sociedad,-,-,-,0.0,-,0.1162,0.0,1.1407,0.2193,1.4762
6533,Anthony Lozano,Cadiz,0.0,-,0.0,0.057,0.5664,0.7677,0.0835,0.0,0.0,1.4746
5074,Kike García,Eibar,0.0849,0.6409,0.2142,0.1101,0.101,0.0,0.1813,0.0759,0.0219,1.4302
866,Joselu,Alaves,0.0439,0.1285,0.3278,-,0.0767,0.222,0.07,0.0367,0.5054,1.411
