team,1,2,3,4,5,6,7,total
Napoli,0.8491,0.7602,0.5031,0.4572,0.0875,0.3989,-,3.056
Udinese,0.1927,0.3733,0.4359,0.294,0.1906,0.303,0.9189,2.7084
AC Milan,0.4209,0.8971,0.8552,0.0448,0.0263,0.1958,0.0132,2.4533
Atalanta,0.4196,0.1217,0.5055,0.2908,0.021,0.5506,0.402,2.3112
Inter,0.0463,0.2328,0.2548,0.0239,0.9871,0.4016,0.2919,2.2384
Juventus,0.5348,0.0158,0.1151,0.5037,0.5706,0.2963,-,2.0363
Fiorentina,0.4766,0.1565,0.0508,0.3381,0.0086,0.0035,0.8747,1.9088
Sassuolo,0.2695,0.2184,0.1005,0.1888,0.086,0.0794,0.9097,1.8523
Genoa,0.1865,0.0617,0.398,0.1114,0.3797,0.6291,0.0116,1.778
Roma,0.3486,0.0519,0.1276,0.0429,0.0197,0.6821,0.4763,1.7491
Cagliari,0.0993,0.0493,0.0023,0.1457,0.1848,0.2003,0.8723,1.554
Parma Calcio 1913,0.0576,0.0825,0.4888,0.1328,0.3661,0.0194,0.3859,1.5331
Torino,0.0419,0.0468,0.0528,0.1105,0.0784,0.2776,0.7317,1.3397
Lazio,0.3232,0.0909,0.4737,0.0902,0.1248,0.0223,0.1977,1.3228
Verona,0.1263,0.0694,0.2027,0.6711,0.0788,0.1561,0.0091,1.3135
Sampdoria,0.0178,0.1949,0.094,0.6235,0.0513,0.2562,0.0693,1.307
Spezia,0.0267,0.0882,0.0123,0.2964,0.0023,0.0123,0.7689,1.2071
Bologna,0.0143,0.2339,0.3021,0.0174,0.1583,0.2182,0.1723,1.1165
Crotone,0.0658,0.0238,0.0572,0.0398,0.0497,0.0107,0.7828,1.0298
Benevento,0.1532,0.0007,0.1126,0.0018,0.0671,0.037,0.1822,0.5546
