team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
Atalanta,0.4196,0.1217,0.5055,0.2908,0.021,0.5506,0.402,0.5352,0.0576,0.5735,0.0218,0.4367,0.2705,0.577,0.9536,0.2827,0.3423,0.6164,6.9785
Napoli,0.8491,0.7602,0.5031,0.4572,0.0875,0.3989,0.0705,0.7235,0.5671,0.4518,0.1251,0.4816,0.67,0.3568,0.0116,0.0698,0.2619,-,6.8457
Roma,0.3486,0.0519,0.1276,0.0429,0.0197,0.6821,0.4763,0.9681,0.0127,0.8064,0.6928,0.3481,0.0911,0.1518,0.7852,0.6008,0.1032,0.3327,6.642
Juventus,0.5348,0.0158,0.1151,0.5037,0.5706,0.2963,0.9191,0.6327,0.1457,0.541,0.3746,0.3492,0.1254,0.1031,0.341,0.5676,0.1226,-,6.2583
Udinese,0.1927,0.3733,0.4359,0.294,0.1906,0.303,0.9189,0.4297,0.1472,0.2372,0.8816,0.5175,0.7073,0.0112,0.2069,0.0803,0.1094,0.1935,6.2302
AC Milan,0.4209,0.8971,0.8552,0.0448,0.0263,0.1958,0.0132,0.0911,0.5081,0.3268,0.4829,0.1948,0.3202,0.1069,0.0348,0.0579,0.6824,0.2699,5.5291
Inter,0.0463,0.2328,0.2548,0.0239,0.9871,0.4016,0.2919,0.0569,0.458,0.2086,0.0995,0.006,0.3212,0.0497,0.0603,0.13,0.3663,0.6804,4.6753
Lazio,0.3232,0.0909,0.4737,0.0902,0.1248,0.0223,0.1977,0.6392,0.1587,0.1359,0.3382,0.1592,0.3374,0.071,0.2212,0.0674,0.672,0.455,4.578
Verona,0.1263,0.0694,0.2027,0.6711,0.0788,0.1561,0.0091,0.5904,0.2688,0.1425,0.5082,0.3894,0.0664,0.072,0.6243,0.1869,0.3157,0.0286,4.5067
Fiorentina,0.4766,0.1565,0.0508,0.3381,0.0086,0.0035,0.8747,0.5573,0.0106,0.1724,0.0246,0.1148,0.1372,0.6734,0.4872,0.0771,0.1386,0.032,4.334
Bologna,0.0143,0.2339,0.3021,0.0174,0.1583,0.2182,0.1723,0.4045,0.6582,0.1045,0.0064,0.0106,0.2427,0.0692,0.6964,0.1091,0.2989,0.4434,4.1604
Torino,0.0419,0.0468,0.0528,0.1105,0.0784,0.2776,0.7317,0.0017,0.1915,0.0396,0.1664,0.0115,0.065,0.3927,0.3943,0.7352,0.0886,0.7216,4.1478
Parma Calcio 1913,0.0576,0.0825,0.4888,0.1328,0.3661,0.0194,0.3859,0.0132,0.1247,0.7042,0.114,0.7625,0.0048,0.3883,0.1313,0.0543,0.0044,0.0745,3.9093
Genoa,0.1865,0.0617,0.398,0.1114,0.3797,0.6291,0.0116,0.6502,0.1914,0.011,0.0039,0.0702,0.1002,0.571,0.1298,0.0293,0.255,0.071,3.861
Sassuolo,0.2695,0.2184,0.1005,0.1888,0.086,0.0794,0.9097,0.197,0.1394,0.1968,0.0712,0.0868,0.1585,0.1744,0.0105,0.2304,0.0268,0.4796,3.6237
Benevento,0.1532,0.0007,0.1126,0.0018,0.0671,0.037,0.1822,0.2022,0.1441,0.5941,0.1698,0.6523,0.7787,0.0356,0.0945,0.2177,0.0053,0.1339,3.5828
Spezia,0.0267,0.0882,0.0123,0.2964,0.0023,0.0123,0.7689,0.0597,0.1507,0.6165,0.0909,0.0593,0.141,0.1408,0.1481,0.0068,0.632,0.3224,3.5753
Cagliari,0.0993,0.0493,0.0023,0.1457,0.1848,0.2003,0.8723,0.041,0.0192,0.0188,0.0028,0.3689,0.1873,0.0071,0.0003,0.2439,0.0807,0.0809,2.6049
Crotone,0.0658,0.0238,0.0572,0.0398,0.0497,0.0107,0.7828,0.1289,0.0081,0.0914,0.4024,0.2917,0.0085,0.1679,0.0474,0.0507,0.215,0.0579,2.4997
Sampdoria,0.0178,0.1949,0.094,0.6235,0.0513,0.2562,0.0693,0.1022,0.1242,0.0233,0.1686,0.0918,0.1777,0.0607,0.0565,0.0265,0.0765,0.0047,2.2197
